Date	cash_rate	cpi	gdp	ue_aus	ue_nsw	ue_vic	ue_qld	ue_sa	ue_wa	ue_tas	ue_nt	ue_act
01 Jan 1990	17.81	7.8	-0.4	6.106377	6.0324196	4.7073808	6.9071581	7.0593376	6.725862	8.5428673	6.6292315	5.4289895
01 Feb 1990	16.8	7.8	-0.4	6.3787087	6.1334222	4.7535975	7.02347	7.0541785	6.9816605	8.4987871	6.5836289	5.3999499
01 Mar 1990	16.43	8.7	0.9	6.1849803	6.2193267	4.8507266	7.2153661	7.0184814	7.2037271	8.4931812	6.5353137	5.3372157
01 Apr 1990	15.17	8.7	0.9	6.2792566	6.2880761	5.0257786	7.4465581	7.0304481	7.3710051	8.5635346	6.4653028	5.2487958
01 May 1990	15.02	8.7	0.9	6.5060188	6.340786	5.2826901	7.6857218	7.134631	7.5037811	8.7284767	6.5705642	5.1435547
01 Jun 1990	15.05	7.7	0.1	6.6120581	6.4012128	5.6347078	7.9101884	7.3221076	7.660107	8.9536001	6.8315797	5.0793986
01 Jul 1990	15.02	7.7	0.1	7.0494548	6.4886282	6.065791	8.1394541	7.5600028	7.8575875	9.1478317	7.1536653	5.0918606
01 Aug 1990	14	7.7	0.1	7.2056196	6.5964452	6.5371088	8.3646667	7.8346328	8.0500791	9.2391497	7.4644421	5.1895654
01 Sep 1990	14	6.1	-0.5	7.3754903	6.7109044	6.9942011	8.5713992	8.0986715	8.2290031	9.2289819	7.697176	5.4221931
01 Oct 1990	13.43	6.1	-0.5	7.634766	6.8407381	7.3702833	8.7595946	8.3149168	8.4055853	9.1729699	7.8481348	5.7402244
01 Nov 1990	13	6.1	-0.5	7.9296507	7.0237831	7.7095779	8.960002	8.5118826	8.643424	9.1436059	7.9424856	6.0268584
01 Dec 1990	12.58	6.9	0.6	8.0075827	7.2742877	8.0642697	9.2145493	8.7157541	8.9584626	9.2118475	8.0933663	6.2166763
01 Jan 1991	12	6.9	0.6	8.3809322	7.5715167	8.4762408	9.5134205	8.925583	9.3376986	9.4216696	8.3038136	6.2623532
01 Feb 1991	12	6.9	0.6	8.6074073	7.8673798	8.9426541	9.8142631	9.151303	9.7557631	9.7554923	8.5244791	6.2180333
01 Mar 1991	12	4.8	-1.3	9.1739001	8.1184685	9.3959897	10.0588064	9.3738469	10.1746806	10.1468045	8.7564537	6.1722445
01 Apr 1991	11.55	4.8	-1.3	9.8554254	8.3304634	9.789934	10.1966575	9.5841012	10.5305518	10.5242868	8.8519155	6.1899432
01 May 1991	10.98	4.8	-1.3	9.5000511	8.5171898	10.0752302	10.220324	9.7721925	10.7652893	10.8056383	8.8299583	6.2910078
01 Jun 1991	10.5	3.3	-0.1	9.4952486	8.7042545	10.2388703	10.1188053	9.9481541	10.8994406	10.9681896	8.7747921	6.4198519
